id,price,price_per_guest,accommodates,room_type,neighbourhood_cleansed,minimum_nights,availability_365,estimated_occupancy_l365d,estimated_revenue_l365d,host_is_superhost,host_response_rate,host_acceptance_rate
884108895271810838,320.0,160.0,2.0,Entire home/apt,Álvaro Obregón,5.0,273.0,10.0,3200.0,t,1.0,0.98
1209442327373835482,1849.0,462.25,4.0,Entire home/apt,Cuauhtémoc,4.0,82.0,184.0,340216.0,,1.0,1.0
1182047773202804360,676.0,169.0,4.0,Entire home/apt,Cuauhtémoc,1.0,235.0,255.0,172380.0,t,1.0,1.0
9809124,700.0,700.0,1.0,Entire home/apt,Miguel Hidalgo,120.0,365.0,0.0,0.0,f,1.0,
975648975867451342,542.0,542.0,1.0,Private room,Cuauhtémoc,1.0,281.0,24.0,13008.0,f,1.0,0.67
42670712,452.0,452.0,1.0,Private room,La Magdalena Contreras,2.0,365.0,0.0,0.0,f,1.0,0.33
808888078869321995,915.0,457.5,2.0,Entire home/apt,Cuauhtémoc,2.0,35.0,78.0,71370.0,t,1.0,1.0
19386816,1500.0,250.0,6.0,Entire home/apt,Miguel Hidalgo,1.0,264.0,255.0,382500.0,f,1.0,0.99
54139529,1527.0,509.0,3.0,Entire home/apt,Cuauhtémoc,1.0,332.0,78.0,119106.0,f,0.8,0.99
1110222563677816295,285.0,142.5,2.0,Private room,Gustavo A. Madero,1.0,357.0,255.0,72675.0,f,1.0,1.0
703483367819392906,675.0,337.5,2.0,Private room,Cuauhtémoc,1.0,182.0,12.0,8100.0,f,1.0,0.91
1021776809488849306,500.0,250.0,2.0,Private room,Miguel Hidalgo,1.0,301.0,54.0,27000.0,t,0.5,0.56
1090892198732447605,1093.0,218.6,5.0,Entire home/apt,Iztacalco,1.0,195.0,90.0,98370.0,t,1.0,1.0
1216188312641357169,399.0,199.5,2.0,Private room,Cuauhtémoc,4.0,329.0,0.0,0.0,f,0.6,0.16
25343285,1550.0,775.0,2.0,Entire home/apt,Álvaro Obregón,3.0,242.0,0.0,0.0,f,,
1074534165050992517,540.0,270.0,2.0,Entire home/apt,Benito Juárez,3.0,204.0,0.0,0.0,f,,
950106067713912852,922.0,461.0,2.0,Entire home/apt,Miguel Hidalgo,1.0,359.0,255.0,235110.0,t,1.0,1.0
1065397175325421003,619.0,123.8,5.0,Entire home/apt,Coyoacán,12.0,364.0,0.0,0.0,f,0.0,0.5
1313388046519685905,3408.0,426.0,8.0,Entire home/apt,Cuauhtémoc,2.0,350.0,84.0,286272.0,t,0.98,0.98
906644145744853454,250.0,250.0,1.0,Private room,Tlalpan,7.0,73.0,56.0,14000.0,t,1.0,1.0
16085841,919.0,306.3333333333333,3.0,Entire home/apt,Cuauhtémoc,1.0,255.0,255.0,234345.0,t,1.0,0.93
38954767,7117.0,1016.7142857142856,7.0,Entire home/apt,Cuauhtémoc,2.0,291.0,180.0,1281060.0,t,1.0,0.97
41110285,553.0,276.5,2.0,Private room,Venustiano Carranza,1.0,268.0,0.0,0.0,t,1.0,0.66
52671280,922.0,230.5,4.0,Entire home/apt,Benito Juárez,5.0,329.0,90.0,82980.0,t,1.0,0.95
